num_topics,coherence,topic_diversity
5,0.5274478253210587,0.64
10,0.5132919960852791,0.5
15,0.5173546959320786,0.49333333333333335
20,0.5081823824453238,0.445
25,0.47826872316720176,0.436
30,0.47627698485072134,0.4166666666666667
35,0.47108654676514855,0.4057142857142857
40,0.47182569152296105,0.3875
45,0.463046287642394,0.3977777777777778
50,0.465392709375453,0.362
