num_topics,topic_id,words
20,13,"orang-orang, surga, allah, dalamnya, beriman, sungai-sungai, mengalir, bawahnya, kekal, saleh, tuhan, beramal, surga-surga, bertakwa, balasan"
20,14,"orang-orang, neraka, allah, azab, dunia, kiamat, kufur, engkau, kehidupan, kafir, ayat-ayat, akhirat, orang, jahanam, beriman"
20,15,"allah, orang-orang, berbuat, salat, orang, engkau, beriman, bumi, kebaikan, ketentuan, bertakwa, jalan, rezeki, nabi, kitab"
20,16,"orang-orang, allah, beriman, azab, orang, jalan, kafir, dunia, niscaya, berbuat, berperang, nabi, mukmin, kufur, muhammad"
20,17,"allah, orang, orang-orang, kepadamu, maha, engkau, berbuat, adil, beriman, ingatlah, nabi, sungguh, dosa, saksi, manusia"
20,18,"bumi, allah, langit, air, hujan, mati, menjadikan, menurunkan, manusia, maha, menciptakan, angin, benar-benar, engkau, awan"
20,19,"maha, allah, penyayang, bumi, pengampun, kehendaki, langit, tuhan, perkasa, bijaksana, orang-orang, tuhanmu, kepadamu, nabi, kepada-nya"
25,0,"orang-orang, neraka, surga, allah, dalamnya, sungai-sungai, kekal, mengalir, bawahnya, beriman, api, tuhan, saleh, jahanam, beramal"
25,1,"anak, musa, harta, allah, engkau, berfirman, perempuan, orang, saudara, kepadamu, sapi, ingatlah, laki-laki, menjadikan, patung"
25,2,"allah, orang-orang, orang, mukmin, berperang, maha, jalan, beriman, kepadamu, harta, rasul-nya, niscaya, perang, kaum, munafik"
25,3,"air, hujan, allah, angin, batu, langit, bumi, awan, engkau, menurunkan, mata, laut, maha, kapal, orang-orang"
25,4,"allah, kepadamu, nabi, sungguh, benar-benar, muhammad, orang-orang, engkau, kitab, rasul, manusia, tuhanmu, alquran, maryam, membawa"
25,5,"orang-orang, allah, dunia, berbuat, akhirat, kehidupan, beriman, orang, balasan, azab, pahala, kebaikan, kerjakan, saleh, bumi"
25,6,"orang-orang, allah, beriman, orang, kafir, neraka, nabi, kitab, muhammad, azab, kepadamu, manusia, kufur, musyrik, diturunkan"
25,7,"engkau, allah, nabi, muhammad, orang-orang, maha, orang, tuhan, kepadamu, petunjuk, tuhanku, kepadaku, tuhanmu, ampunan, kehendaki"
25,8,"nabi, muhammad, orang-orang, alquran, allah, kepadamu, engkau, kitab, peringatan, beriman, kebenaran, rasul, sungguh, diturunkan, petunjuk"
25,9,"allah, orang-orang, engkau, kepadamu, yusuf, surga, berbuat, niscaya, maha, keselamatan, semoga, malaikat, darinya, masuk, seandainya"
