num_topics,topic_id,words
25,13,"dustakan, manakah, jin, nikmat, tuhanmu, manusia, dibenci, ragukan, keringanan, larangan"
25,14,"api, panas, air, mendidih, neraka, zaqum, minuman, bergejolak, bunga, dibakar"
25,15,"laki, anak, perempuan, kehendaki, menyentuhku, memilihkan, kalangan, perlindungan, maryam, syahwat"
25,16,"hamba, terpilih, keikhlasannya, sisi, anugerahkan, tugas, mukmin, masuklah, dibahagiakan, mu"
25,17,"lauhulmahfuz, tertulis, lailatulqadar, kitab, bumi, pengetahuan, nyata, kit, tercatat, kiamat"
25,18,"jalan, lurus, menempuh, sukar, mendaki, mengikuti, tujuannya, bimbinglah, kebajikan, memudahkannya"
25,19,"bertakwalah, taatlah, kepadaku, sembahlah, allah, berkurbanlah, membuatku, umat, laksanakanlah, terhina"
25,20,"berhala, penyembahnya, diam, pertolongan, menyembah, disediakan, menyediakan, berhalanya, kekuasaannya, tekun"
25,21,"sejahtera, semesta, alam, salam, tuhan, puji, limpahkan, kesejahteraan, ilyas, selamat"
25,22,"membinasakan, kaum, terpecah, belah, golongan, negeri, jalur, nuh, rass, urusan"
25,23,"bertasbihlah, malam, bertasbih, pagi, kepada, petang, fajar, bintang, bijak, sejahteralah"
30,-1,"allah, orang, nya, maha, benar, kepadamu, engkau, nabi, rasul, muhammad"
30,0,"orang, azab, neraka, beriman, ayat, kafir, kufur, allah, zalim, buruk"
30,1,"engkau, muhammad, nabi, kepadamu, allah, orang, alquran, kitab, rasul, tuhanku"
30,2,"malam, manusia, kiamat, alquran, langit, gulita, peringatan, gelap, matahari, pembalasan"
30,3,"musa, ya, nabi, qub, ishaq, mendustakan, ibrahim, muhammad, menganugerahkan, rasul"
30,4,"maha, penyayang, pengampun, perkasa, tobat, pengasih, allah, bertobat, bijaksana, menerima"
30,5,"sungai, surga, mengalir, bawahnya, air, hujan, dalamnya, gunung, kebun, kekal"
30,6,"laki, perempuan, istri, anak, saudara, suami, sahaya, istrimu, maha, allah"
30,7,"tanda, kebesaran, langit, bumi, menciptakan, maha, siang, allah, malam, kuasa"
30,8,"benar, kebanyakan, tanda, kekuasaan, sungguh, beriman, tingkat, pendusta, sunatullah, dugaan"
30,9,"gunung, dipan, bidadari, kapal, laut, duduk, sutra, rumah, hewan, berhadap"
30,10,"fir, aun, tentaranya, bala, musa, kaumnya, laut, pemuka, menenggelamkan, mengusir"
30,11,"buah, kebun, buahan, taman, mata, pohon, kurma, air, surga, menumbuhkan"
30,12,"malaikat, menciptakan, main, mani, rombongan, penciptaan, manusia, berbaris, ciptakan, setetes"
30,13,"neraka, jahim, azab, saqar, hawiyah, hutamah, tahukah, pedih, dinyalakan, lihatlah"
30,14,"kerjakan, amal, jalan, sesuai, petunjuk, usahakan, pertanggungjawaban, balasan, lurus, berdasarkan"
30,15,"dustakan, manakah, jin, nikmat, tuhanmu, manusia, dibenci, ragukan, keringanan, larangan"
30,16,"sangkakala, api, tiupan, ditiup, neraka, suara, mendengar, bergejolak, bondong, berbondong"
30,17,"lembaran, kitab, ayat, alquran, arab, catatan, amal, bahasa, lebar, buku"
30,18,"miskin, anak, harta, makan, yatim, hartanya, benda, berguna, mengumpulkan, menggemukkan"
30,19,"hamba, terpilih, keikhlasannya, sisi, anugerahkan, tugas, mukmin, masuklah, dibahagiakan, mu"
