num_topics,coherence,topic_diversity
5,0.4529369668679122,0.84
10,0.3878878830190621,0.87
15,0.3860602322835195,0.8266666666666667
20,0.3578209731535206,0.83
25,0.3730753031547138,0.836
30,0.3727549108762412,0.83
35,0.39266480609393195,0.8657142857142858
40,0.3660729525678813,0.83
45,0.40022539753482705,0.8066666666666666
50,0.38441680392998867,0.81
