num_topics,topic_id,words
20,12,"sungguh, benar-benar, mendustakan, kejahatan, kebenaran, nyata, membawa, menciptakan, balasan, manusia, berguna, orang, bukti, seberat, rasul-rasul"
20,13,"anak, yatim, orang, menjadikan, unta, malaikat, kelak, betina, allah, tuhanmulah, membinasakan, sepasang, dahsyat, saudara, terang"
20,14,"manusia, harta, batas, air, melampaui, benar-benar, makan, manakah, orang, hujan, berdosa, miskin, mengumpulkan, duha, sebaik-baik"
20,15,"nabi, muhammad, engkau, peringatan, orang-orang, tuhan, kepadamu, alquran, tuhanmu, tipu, pemberi, daya, urusan, allah, menjadikan"
20,16,"kepadamu, kerjakan, allah, kebajikan, balasan, berbuat, kebaikan, engkau, sungguh, perbuatan, tangan, dosa, menganugerahkan, benar-benar, makanan"
20,17,"azab, tuhanku, tuhanmu, berlindung, dada, buah, neraka, mengeluarkan, niscaya, tuhan, memiliki, durhaka, pemilik, menzalimi, pohon"
20,18,"dunia, akhirat, kehidupan, hati, niscaya, seandainya, kenikmatan, penyembah, isi, meninggalkan, benar-benar, baginya, zarah, penuh, engkau"
20,19,"ingatlah, tuhan, takut, musa, fir'aun, ibrahim, berfirman, kaumnya, allah, kepadamu, alam, kaum, tuhannya, azab, rahmat"
25,0,"orang-orang, neraka, orang, masuk, dalamnya, allah, beserta, berbuat, kikir, perang, adil, jahim, musim, kufur, kekal"
25,1,"kaum, perempuan, laki-laki, hamba, matahari, memanggil, nuh, mengerti, samud, menghidupkan, ditentukan, saudara, durhaka, bermanfaat, kaumku"
25,2,"maha, allah, penyayang, tuhan, perkasa, pengampun, bijaksana, kuasa, tangan, kerjakan, mendengar, pengasih, kepadamu, saksi, esa"
25,3,"allah, sembah, menyembah, milik, pertolongan, nikmat, memberimu, kemenangan, allahlah, penyembah, keimanan, musuh, karunia, bukti, nyata"
25,4,"allah, agama, kepada-nya, manusia, kebesaran, tanda-tanda, kepadamu, bersyukur, salat, zakat, engkau, bagimu, tuhanmu, tuhan, gaib"
25,5,"musa, allah, rasul, suci, mengambil, kepadamu, menganugerahkan, engkau, pelajaran, bani, israil, orang, kitab, memiliki, membenarkan"
25,6,"orang-orang, allah, beriman, kafir, hati, mukmin, azab, orang, takut, kufur, musyrik, rasul-nya, janji, munafik, izin"
25,7,"makanan, isi, kekufuran, penyihir, perempuan-perempuan, bacalah, tanah, menjadikan, hewan, ternak, sia-sia, kerugian, bumi, menambah, bagimu"
25,8,"jalan, petunjuk, allah, ibrahim, lurus, tuhan, alam, sesat, kemudahan, kepadamu, rumah, semesta, manusia, sepasang, kepadaku"
25,9,"kiamat, kelak, kerjakan, unta, betina, gunung-gunung, azab, orang, orang-orang, allah, saleh, berita, malaikat, enggan, duha"
25,10,"api, tahukah, neraka, celakalah, panas, cahaya, rida, buah, gelap, gulita, rapat, sayang, perkataan, buah-buahan, burung"
25,11,"neraka, orang, berpaling, mati, jahanam, kebaikan, darinya, engkau, seburuk-buruk, berat, timbangan, hidup, tinggal, dengannya, seberat"
25,12,"benar-benar, bumi, langit, sungguh, menciptakan, manusia, nyata, air, membawa, hujan, bukti-bukti, menurunkan, rasul-rasul, mendaki, kesesatan"
25,13,"malam, menjadikan, siang, allah, kekuasaan, malaikat, anak, tanda-tanda, istri, untukmu, untuknya, tanda, tuhan-tuhan, menundukkan, hakim"
25,14,"orang, mendustakan, harta, anak, makan, yatim, miskin, membinasakan, urusan, kebenaran, disebabkan, pembalasan, mengumpulkan, melepaskan, orang-orang"
25,15,"nabi, muhammad, engkau, orang, tuhanmu, orang-orang, tipu, daya, memperhatikan, kepadamu, teliti, rasul, allah, ampunan, menjadikan"
25,16,"menerima, allah, seandainya, yusuf, nenek, kesulitan, niscaya, mengikuti, manusia, tobat, hukuman, sungguh, moyang, kebiasaan, bala"
25,17,"tuhan, tuhanku, engkau, tanah, berlindung, mengeluarkan, dada, berguna, berdoa, manusia, menzalimi, angin, menyala-nyala, neraka, pohon"
25,18,"dunia, akhirat, peringatan, azab, kehidupan, pemberi, engkau, kebajikan, mata, allah, sungguh, amal, meninggalkan, keras, niscaya"
25,19,"tuhanmu, ingatlah, berfirman, gembira, manakah, kepadamu, beruntung, malaikat, kabar, pagi, berdua, allah, istrinya, jibril, sungguh"
25,20,"balasan, surga, orang-orang, berbuat, dalamnya, kekal, negeri, bertakwa, beriman, allah, fir'aun, tuhannya, kebaikan, kebajikan, sungai-sungai"
25,21,"orang-orang, golongan, zalim, manusia, allah, batas, jin, melampaui, orang, kufur, nikmat, tuhanmu, dustakan, sungguh, penolong"
25,22,"alquran, orang-orang, kebenaran, ayat-ayat, beriman, kitab, kepadamu, saleh, diturunkan, beramal, tuhanmu, kelak, mulia, ingkar, anugerahkan"
25,23,"kejahatan, manusia, baginya, salat, hartanya, makhluk, atasnya, melaksanakan, kubur, binasa, bersabar, menginfakkan, usahakan, batu, mengirimkan"
25,24,"setan, perbuatan, dosa, tuhanmulah, nama, anak-anak, benar-benar, keji, menyebut, tuhanmu, adakah, penglihatan, zaitun, bersembunyi, beraneka"
30,0,"allah, hartanya, orang-orang, berbuat, pahala, baginya, kuasa, adil, beriman, kebajikan, orang, memperhatikan, tobat, menginfakkan, jalan"
30,1,"mengambil, pelajaran, bani, israil, orang, kebajikan, keras, pembalasan, pemilik, enggan, engkau, sujud, sembahan, menghidupkan, mudah"
30,2,"maha, allah, tuhanmu, penyayang, salat, perkasa, pengampun, bijaksana, melaksanakan, alquran, dustakan, dada, kepadamu, nama, mendengar"
30,3,"kejahatan, allah, berpaling, sembah, kitab, suci, penyembah, keimanan, menyembah, kemenangan, pertolongan, gelap, alquran, gulita, hukuman"
30,4,"allah, peringatan, pemberi, kehendaki, tuhan, karunia, melapangkan, musim, sayang, sembahlah, petunjuk, baginya, ilmu, hamba-hamba-nya, berilah"
30,5,"malam, siang, pengasih, gunung, utusan, musa, perjanjian, anak, sinai, menjadikan, gaib, subuh, lut, malaikat, bersembunyi"
30,6,"orang-orang, allah, beriman, kafir, mukmin, azab, orang, hati, rasul-nya, munafik, kikir, pedih, agama, salat, zakat"
30,7,"setan, nyata, musuh, makanan, kesesatan, dikembalikan, penyihir, seberat, perempuan-perempuan, menjaga, ternak, kepadamu, ciptaan, dijanjikan, hewan"
30,8,"jalan, petunjuk, lurus, memberimu, kemudahan, membenarkan, pendapatmu, hak, turun, kitab-kitab, berhak, melarang, alquran, kepadamu, mengerti"
30,9,"dunia, kiamat, akhirat, azab, kehidupan, orang-orang, agama, sungguh, penolong, melepaskan, kematian, lalai, mengingkari, bagimu, pertemuan"
